tn(s),xi(m),T_AgTop_tn_2_xi(K),T_AgTop_tn_1_xi(K),T_AgTop_tn_xi(K),T_supra_tn_2_xi(K),T_supra_tn_1_xi(K),T_supra_tn_xi(K),T_hast_tn_2_xi(K),T_hast_tn_1_xi(K),T_hast_tn_xi(K),Q_Ag_tn_1_xi(W/m3),Q_Ag_tn_xi(W/m3),Q_supra_tn_1_xi(W/m3),Q_supra_tn_xi(W/m3),Q_hast_tn_1_xi(W/m3),Q_hast_tn_xi(W/m3)
0.0002,0.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,843444.084,839010.549,0.0,0.0
0.0002,0.0001,77.0,77.000009,77.000014,77.0,77.000009,77.000014,77.0,77.0,77.0,0.0,0.0,2484411.33,2471352.1,0.0,0.0
0.0002,0.0002,77.000001,77.000025,77.000039,77.000001,77.000025,77.000039,77.0,77.0,77.0,0.0,0.0,7002043.78,6965237.78,0.0,0.0
0.0002,0.0003,77.000003,77.000067,77.000103,77.000003,77.000066,77.000102,77.0,77.0,77.0,0.0,0.0,18883181.3,18783922.5,0.0,0.0
0.0002,0.0004,77.000007,77.000168,77.000258,77.000007,77.000167,77.000256,77.0,76.999999,76.999999,0.0,0.0,48728864.9,48472723.3,0.0,0.0
0.0002,0.0005,77.000018,77.000408,77.000618,77.000018,77.000405,77.000614,77.0,76.999998,76.999998,0.0,0.0,120327879.0,119695380.0,0.0,0.0
0.0002,0.0006,77.000042,77.000948,77.00142,77.000042,77.000942,77.001412,77.0,76.999996,76.999995,0.0,0.0,284327474.0,282832916.0,0.0,0.0
0.0002,0.0007,77.000096,77.00211,77.003129,77.000095,77.002096,77.003112,77.0,76.999992,76.999988,0.0,0.0,642899325.0,639519947.0,0.0,0.0
0.0002,0.0008,77.000207,77.004494,77.006607,77.000206,77.004466,77.006572,77.0,76.999982,76.999974,0.0,0.0,1391017140.0,1383705300.0,0.0,0.0
0.0002,0.0009,77.000428,77.009171,77.01337,77.000425,77.009115,77.013304,77.000001,76.999963,76.999948,0.0,0.0,2879888320.0,2864750280.0,0.0,0.0
